status,play number,score,year,topic
10,1.7y,9.1,2016,2
44,5.1y,7.9,2016,2
43,5.5y,8.4,2016,2
16,8445.0w,9.4,2016,2
32,2.7y,8,2016,2
3,8911.6w,8.9,2016,2
40,4.0y,7.5,2016,2
42,6.3y,7.5,2016,2
47,4643.8w,7.4,2016,2
24,6.2y,7.6,2016,2
12,6947.3w,8,2016,2
16,21.1y,7.5,2016,2
,228.4w,8.6,2016,2
10,1.0y,7.3,2016,2
2,8970.5w,8.3,2016,2
20,8747.6w,8.4,2016,2
42,1.8y,7.9,2016,2
16,1.1y,7.6,2016,2
26,2601.1w,9,2016,2
25,8010.4w,7.9,2016,2
200,4230.5w,7.3,2016,2
12,2931.5w,7.5,2016,2
2,1.7y,7.3,2016,2
69,5732.7w,6.8,2016,2
16,1.7y,7.4,2016,2
12,4.5y,7.3,2016,2
7,5417.7w,7.7,2016,2
1,846.4w,8.4,2016,2
3,1884.1w,8.7,2016,2
30,5485.3w,7.3,2016,2
14,3301.8w,7.1,2016,2
24,6445.9w,7.3,2016,2
42,7214.9w,7.7,2016,2
10,766.6w,9.1,2016,2
3,1271.5w,8.4,2016,2
26,982.2w,7.7,2016,2
30,6270.5w,8.2,2016,2
16,5.5y,7.2,2016,2
20,3.3y,8.3,2016,2
10,1836.9w,7.2,2016,2
4,587.0w,8.2,2016,2
12,2.1y,7.2,2016,2
1,934.2w,8.5,2016,2
19,1667.5w,7.2,2016,2
9,320.3w,9.1,2016,2
1,206.7w,8.3,2016,2
12,3224.8w,7.1,2016,2
